12G.TIFFANY
Date  	TS    	HU    	Wind    Press 	 Lat  	 Long
25/21   53      49      30      1003    15.8    -76.6   1
26/03   42      33      30      1005    16.0    -76.6   1A
26/09   42      33      30      1001    16.1    -76.6   2
26/15   74      33      35      1000    16.1    -77.2   2A
+12     89      39      45      996     16.0    -77.9   3A
+24     98      51      55      988     15.7    -78.6   4A
+48     99      66      60      983     15.8    -79.4   6A
+72     99      71      65      977     16.2    -80.5   8A
+96     99      75      75      973     16.4    -82.1   10A
+120    99      77      80      971     16.9    -83.8   12A
