05D.EDGAR-ULIIPIKA
Date  	TS    	HU    	Wind    Press 	  Lat  	  Long
28/12   20      LO      15      1006      20.0    135.4   1
28/18   30      LO      15      1006      20.1    134.2   2
29/00   40      LO      25      1006      20.4    132.7   3
29/06   70      LO      30      1003      20.5    131.3   4
29/12   90      00      35      1000      20.4    130.0   5
29/18   95      05      35      998       20.2    128.9   6
30/00   99      10      40      994       19.8    128.1   7
30/06   99      25      45      989       19.3    127.7   8
30/12   99      50      50      985       18.7    127.7   9
30/18   99      60      60      982       18.0    127.6   10
31/00   99      70      65      980       17.2    127.3   11
31/06   99      85      70      977       16.3    126.7   12
31/12   99      95      75      975       15.3    125.9   13
31/18   99      99      75      974       14.9    124.7   14
01/00   99      90      75      975       15.2    123.2   15
01/06   99      90      75      975       15.3    121.6   16
01/12   99      80      75      977       15.4    119.9   17
01/18   99      70      75      979       15.6    117.9   18
02/00   99      60      75      981       15.9    115.7   19
02/06   99      60      75      982       16.2    113.3   20
02/12   99      60      75      982       16.6    110.8   21
02/18   99      40      70      986       17.0    108.1   22
03/00   99      20      65      989       17.4    105.3   23
03/06   99      00      60      994       17.8    102.3   24
03/12   80      00      60      998       18.3    99.2    25
03/18   60      00      50      1000      18.6    96.2    26
04/00   50      00      50      1000      19.1    93.0    27
04/06   40      00      50      1001      19.7    89.5    28
04/12   30      00      50      1002      20.3    85.8    29
04/18   25      00      45      1003      20.8    82.2    30
05/00   30      00      45      1002      21.3    78.7    31
05/06   40      00      50      1000      21.7    75.3    32
05/12   50      10      50      999       21.9    72.0    33
05/18   50      10      50      999       22.0    68.8    34
06/00   50      10      50      999       22.0    65.6    35
06/06   50      10      50      999       22.0    62.4    36
06/12   60      15      60      998       22.0    59.2    37
06/18   80      50      65      997       22.0    56.0    38
07/00   90      75      70      996       22.0    52.8    39
07/06   99      90      70      995       21.7    49.5    40
07/12   99      99      75      993       21.0    46.1    41
07/18   99      99      75      993       19.9    42.6    42
08/00   99      99      80      992       18.3    39.0    43
08/06   99      99      85      991       16.4    35.2    44
08/12   99      99      85      989       14.9    31.2    45
08/18   99      99      90      987       14.1    27.0    46
